"YEAR","MONTH","SUPPLIER","ITEM CODE","ITEM DESCRIPTION","ITEM TYPE","RETAIL SALES","RETAIL TRANSFERS","WAREHOUSE SALES"
"2019","9","ALLIED IMPORTERS USA LTD","73675","AMERICAN BARRELS BOURBON  NV - 750ML","LIQUOR","0.17","0.00","0.00"
"2019","9","ALLIED IMPORTERS USA LTD","232694","CH DE COR BUGEAUD BORD KOS - 750ML","WINE","0.00","0.00","1.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","166412","DAILY'S COCKTAIL STRAWBERRY DAIQUIRI - 10 OZ","WINE","0.00","0.00","5.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","71810","DAILYS COCKTAIL STRAW/DAIQUIRE - NA - 1L","NON-ALCOHOL","1.55","1.00","0.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","83228","DAILYS ISLAND BREEZE - 10OZ","WINE","6.50","7.00","2.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","166387","DAILY'S COCKTAIL MARGARITA - 10 OZ","WINE","0.82","0.00","0.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","82329","DAILYS MAUI WOWIE - 10.OZ","WINE","2.93","0.00","0.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","71799","DAILYS COCKTAIL SWEET & SOUR - NA - 1L","NON-ALCOHOL","0.24","0.00","0.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","166386","DAILY'S COCKTAIL FROSE -10 OZ","WINE","2.51","1.00","0.00"
"2019","9","AMERICAN BEVERAGE CORPORATION","80050","DAILYS PEACH ON THE BEACH POUCH - 10OZ","WINE","0.41","0.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70736","MASTER OF MIXES COSMO - 1L","NON-ALCOHOL","0.08","0.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70924","MASTER OF MIXES COCKTAIL ESS LIME JUICE - 375ML","NON-ALCOHOL","39.20","40.00","1.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70701","MASTER OF MIXES MARGARITA - 1.75L","NON-ALCOHOL","25.88","21.00","6.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70756","FINEST CALL SWEET & SOUR - 1L","NON-ALCOHOL","23.32","20.00","8.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70665","MASTER OF MIXES COCKTAIL ESS GRENADINE - 375ML","NON-ALCOHOL","25.13","25.00","6.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70709","MASTER OF MIXES BLOODY MARY - 1.75L","NON-ALCOHOL","8.29","4.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70674","MASTER OF MIXES BB MARG - 3L","NON-ALCOHOL","0.85","0.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70717","MASTER OF MIXES PINA COLADA - 1.75L","NON-ALCOHOL","10.50","8.00","1.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70198","MASTER OF MIXES MARGARITA LITE - 1.75L","NON-ALCOHOL","11.13","11.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","87994","FINEST CALL MANGO PUREE - 1L","NON-ALCOHOL","6.59","9.00","3.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","166661","MASTER OF MIXES COCKTAIL ESSENTIALS SIMPLE SYRUP-NA","NON-ALCOHOL","18.76","23.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70901","FINEST CALL BLOODY MARY - 1L","NON-ALCOHOL","5.28","7.00","1.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70691","MASTER OF MIXES STR/DAQ/MAR - 1.75L","NON-ALCOHOL","7.61","3.00","1.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70647","FINEST CALL STRAWBERRY PUREE - 1L","NON-ALCOHOL","8.83","12.00","3.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70047","FINEST CALL PINA COLADA - 1L","NON-ALCOHOL","9.99","11.00","7.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","74134","MASTER OF MIXES SWEET/SOUR - 1.75L","NON-ALCOHOL","16.91","15.00","3.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","166662","AGALIMA SWEET & SOUR MIX - 1L","NON-ALCOHOL","6.09","4.00","0.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","70069","FINEST CALL MARGARITA - 1L","NON-ALCOHOL","20.49","21.00","5.00"
"2019","9","AMERICAN BEVERAGE MARKETERS","166663","AGALIMA MARGARITA MIX - 1L","NON-ALCOHOL","18.79","23.00","0.00"
